campaignuuid,userid,reqid,eventdate,event,zoneuuid,benefitunit,questionuuid,questionname,answer,questiontype,questionfieldtype,questionoptionselected,questionoptionuuid,questionoptionname,questionoptionsisanswer,year,month,day,hour
0b4ef373-a6a3-4b29-9659-609b9937524d,1221999900000,0,2020-08-02T21:34:17.846-03:00,campaign-pull-fill,47a29af8-01cc-4b78-bfc2-2763c576df41,0,,,empty,empty,empty,,,,,2020,8,3,0
0b4ef373-a6a3-4b29-9659-609b9937524d,1221999900001,0,2020-08-02T21:34:17.776-03:00,campaign-pull-fill,47a29af8-01cc-4b78-bfc2-2763c576df41,0,,,empty,empty,empty,,,,,2020,8,3,0
0b4ef373-a6a3-4b29-9659-609b9937524d,1221999900002,0,2020-08-02T21:34:17.878-03:00,delivered,,0,,,empty,empty,empty,,,,,2020,8,3,0
2f784d29-a3da-4e8c-9ce2-06fb4451befd,1221999900003,0,2020-08-02T21:34:17.852-03:00,impression,,0,,,empty,empty,empty,,,,,2020,8,3,0
0b4ef373-a6a3-4b29-9659-609b9937524d,1221999900004,0,2020-08-02T21:34:17.979-03:00,delivered,,0,,,empty,empty,empty,,,,,2020,8,3,0
2f784d29-a3da-4e8c-9ce2-06fb4451befd,1221999900005,0,2020-08-02T21:34:18.083-03:00,impression,,0,,,empty,empty,empty,,,,,2020,8,3,0
0b4ef373-a6a3-4b29-9659-609b9937524d,1221999900006,0,2020-08-02T21:34:18.063-03:00,campaign-pull-fill,47a29af8-01cc-4b78-bfc2-2763c576df41,0,,,empty,empty,empty,,,,,2020,8,3,0
0b4ef373-a6a3-4b29-9659-609b9937524d,1221999900007,0,2020-08-02T21:34:18.076-03:00,campaign-pull-fill,47a29af8-01cc-4b78-bfc2-2763c576df41,0,,,empty,empty,empty,,,,,2020,8,3,0
2f784d29-a3da-4e8c-9ce2-06fb4451befd,1221999900008,0,2020-08-02T21:34:18.229-03:00,impression,,0,,,empty,empty,empty,,,,,2020,8,3,0
0b4ef373-a6a3-4b29-9659-609b9937524d,1221999900009,0,2020-08-02T21:34:18.207-03:00,delivered,,0,,,empty,empty,empty,,,,,2020,8,3,0
0b4ef373-a6a3-4b29-9659-609b9937524d,1221999900010,0,2020-08-02T21:34:18.251-03:00,campaign-pull-fill,47a29af8-01cc-4b78-bfc2-2763c576df41,0,,,empty,empty,empty,,,,,2020,8,3,0
0b4ef373-a6a3-4b29-9659-609b9937524d,1221999900011,0,2020-08-02T21:34:18.294-03:00,delivered,,0,,,empty,empty,empty,,,,,2020,8,3,0
2f784d29-a3da-4e8c-9ce2-06fb4451befd,1221999900012,0,2020-08-02T21:34:18.377-03:00,impression,,0,,,empty,empty,empty,,,,,2020,8,3,0
0b4ef373-a6a3-4b29-9659-609b9937524d,1221999900013,0,2020-08-02T21:34:18.405-03:00,delivered,,0,,,empty,empty,empty,,,,,2020,8,3,0
2f784d29-a3da-4e8c-9ce2-06fb4451befd,1221999900014,0,2020-08-02T21:34:18.532-03:00,impression,,0,,,empty,empty,empty,,,,,2020,8,3,0
0b4ef373-a6a3-4b29-9659-609b9937524d,1221999900015,0,2020-08-02T21:34:17.993-03:00,delivered,,0,,,empty,empty,empty,,,,,2020,8,3,0
0b4ef373-a6a3-4b29-9659-609b9937524d,1221999900016,0,2020-08-02T21:34:18.705-03:00,campaign-pull-fill,47a29af8-01cc-4b78-bfc2-2763c576df41,0,,,empty,empty,empty,,,,,2020,8,3,0
2f784d29-a3da-4e8c-9ce2-06fb4451befd,1221999900017,0,2020-08-02T21:34:18.719-03:00,impression,,0,,,empty,empty,empty,,,,,2020,8,3,0
2f784d29-a3da-4e8c-9ce2-06fb4451befd,1221999900018,0,2020-08-02T21:34:18.867-03:00,impression,,0,,,empty,empty,empty,,,,,2020,8,3,0
,1221999900019,0,2020-08-02T21:34:18.914-03:00,campaign-pull-no-fill,5ed147e6-4758-11ea-89ec-0677896605d2,0,,,empty,empty,empty,,,,,2020,8,3,0
